version
     2.10               2.05
  13 C  12 	     13 C  11 
  14 C  13 	     14 C  12 
  15 N  13 	     15 C  13 
  16 C  14 	     16 N  13 
  17 N  14 	     17 C  14 
  18 N  15 	     18 N  14 
  19 O  15 	     19 N  15 
  20 O  16 	     20 O  15 
  21 O  17 	     21 O  16 
  22 O  18 	     22 O  17 
  23 F  18 	     23 O  18 
  24 F  19 	     24 F  18 
  25 F  20 	     25 F  19 
  26 NE 20 	     26 Ne 20 
  27 NE 21 	     27 Ne 21 
  28 NE 22 	     28 Ne 22 
  29 NA 22 	     29 Na 22 
  30 NE 23 	     30 Na 23 
  31 NA 23 	     31 Mg 24 
  32 NA 24 	     32 Mg 25 
  33 MG 24 	     33 Mg 26 
  34 NA 25 	     34 Al26m 
  35 MG 25 	     35 Al26g 
  36 MG 26 	     36 Al 27 
  37 AL26M 	     37 Si 28 
  38 AL26G 	     38 Si 29 
  39 MG 27 	     39 Si 30 
  40 AL 27 	     40 Si 31 
  41 SI 28 	     41 P  31 
  42 SI 29 	     42 Si 32 
  43 SI 30 	     43 P  32 
  44 P  31 	     44 S  32 
  45 S  32 	     45 P  33 

compatibility
=============
             13 C  11
  13 C  12   14 C  12	      
  14 C  13   15 C  13	      
  15 N  13   16 N  13	      
  16 C  14   17 C  14	      
  17 N  14   18 N  14	      
  18 N  15   19 N  15	      
  19 O  15   20 O  15	      
  20 O  16   21 O  16	      
  21 O  17   22 O  17	      
  22 O  18   23 O  18	      
  23 F  18   24 F  18	      
  24 F  19   25 F  19	      

  25 F  20   	      
  26 NE 20   26 Ne 20	      
  27 NE 21   27 Ne 21	      
  28 NE 22   28 Ne 22	      
  29 NA 22   29 Na 22	 
     
  30 NE 23   	      
  31 NA 23  30 Na 23  	      
  32 NA 24   	      
  33 MG 24  31 Mg 24	      
  34 NA 25  
 	      
  35 MG 25  32 Mg 25 	      
  36 MG 26  33 Mg 26 	      
  37 AL26M  34 Al26m 	      
  38 AL26G  35 Al26g 	      
  39 MG 27   
	      
  40 AL 27   36 Al 27	      
  41 SI 28   37 Si 28	      
  42 SI 29   38 Si 29	      
  43 SI 30   39 Si 30
	     40 Si 31 
	     41 P  31
	     42 Si 32
  44 P  31   43 P  32	      
  45 S  32   44 S  32	      
	     45 P  33









