Type 1 table requested:

  201201030001 = problem id
  ana.palacios@univ-montp2.fr = e-mail address
  UPM - Universit�%A9 Montpellier II = user name
   = user comment
  symbol  Z     abundance      at. mass
    H    1.0  0.0000000E+00  1.0079000E+00
    He   2.0  0.0000000E+00  4.0026000E+00
    C    6.0  2.5854774E-01  1.2011000E+01
    N    7.0  6.4944249E-02  1.4006700E+01
    O    8.0  4.7047898E-01  1.5999400E+01
    Ne  10.0  8.1759679E-02  2.0179000E+01
    Na  11.0  1.6693405E-03  2.2989770E+01
    Mg  12.0  3.8241801E-02  2.4305000E+01
    Al  13.0  2.7075523E-03  2.6981540E+01
    Si  14.0  3.1084341E-02  2.8085500E+01
    P   15.0  2.4705040E-04  3.0973760E+01
    S   16.0  1.2663583E-02  3.2060000E+01
    Cl  17.0  3.0406203E-04  3.5453000E+01
    Ar  18.0  2.4124921E-03  3.9948000E+01
    K   19.0  1.0302102E-04  3.9098300E+01
    Ca  20.0  2.1014287E-03  4.0080000E+01
    Ti  22.0  8.6017548E-05  4.7900000E+01
    Cr  24.0  4.1908549E-04  5.1996000E+01
    Mn  25.0  2.5805264E-04  5.4938000E+01
    Fe  26.0  3.0377197E-02  5.5847000E+01
    Ni  28.0  1.5943252E-03  5.8700000E+01

