# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s]
0.000000000e+00 1.353200000e+07 7.937800000e+01 1.464300000e+17 0.000000000e+00 6.271360000e+12 2.334630000e+02 3.523860000e+04 6.625220000e-03 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 -4.170450000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
1.904910000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 3.896000000e-10 6.271360000e+12 2.941450000e+02 3.523860000e+04 8.347260000e-03 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 5.254450000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
2.400030000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 7.791000000e-10 4.977580000e+12 3.706000000e+02 3.523860000e+04 1.051690000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 4.413450000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
2.641580000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 1.038800000e-09 4.522440000e+12 4.078980000e+02 3.523860000e+04 1.157530000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 4.857910000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
2.845550000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 1.298500000e-09 4.198260000e+12 4.393950000e+02 3.523860000e+04 1.246910000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 5.232670000e-21 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
3.023850000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 1.558200000e-09 3.950710000e+12 4.669270000e+02 3.523860000e+04 1.325040000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 1.112120000e-20 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
3.328180000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 2.077600000e-09 3.589460000e+12 5.139190000e+02 3.523860000e+04 1.458400000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 1.224040000e-20 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
3.585170000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 2.597000000e-09 3.332160000e+12 5.536030000e+02 3.523860000e+04 1.571010000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 1.318610000e-20 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
3.809810000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 3.116400000e-09 3.135680000e+12 5.882900000e+02 3.523860000e+04 1.669450000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 2.802410000e-20 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
4.193240000e-04 1.353200000e+07 7.937800000e+01 1.464300000e+17 4.155200000e-09 2.848950000e+12 6.474970000e+02 3.523860000e+04 1.837470000e-02 1.002490000e+00 9.759740000e-01 3.970830000e-01 3.970830000e-01 -0.000000000e+00 3.084430000e-20 -0.000000000e+00 0.000000000e+00 0.000000000e+00 2.498500000e+05 3.350600000e+08 1.665300000e+00 1.420700000e+00 2.766800000e+15
