# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
0.000000000e+00 1.157200000e+07 8.658700000e+01 1.304000000e+17 0.000000000e+00 2.776980000e+13 4.304490000e+01 4.128740000e+04 1.042570000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 2.452240000e-04 4.864920000e-14 3.817190000e-16 4.903090000e-14 2.214290000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.304990000e-06
3.219800000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.600000000e-12 2.776980000e+13 5.423320000e+01 4.128740000e+04 1.313550000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 2.452240000e-04 6.129420000e-14 4.809360000e-16 6.177510000e-14 2.485460000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.304990000e-06
4.056600000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 5.100000000e-12 2.204090000e+13 6.832950000e+01 4.128740000e+04 1.654970000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 6.576620000e-05 9.729850000e-14 2.047450000e-16 9.750330000e-14 3.122550000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.336460000e-06
4.369900000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 6.400000000e-12 2.046090000e+13 7.360570000e+01 4.128740000e+04 1.782760000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 4.801230000e-05 1.129050000e-13 1.734480000e-16 1.130780000e-13 3.362710000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.342060000e-06
4.643700000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 7.700000000e-12 1.925450000e+13 7.821780000e+01 4.128740000e+04 1.894470000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.133790000e-04 1.274970000e-13 4.625270000e-16 1.279600000e-13 3.577150000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.345770000e-06
5.111100000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.030000000e-11 1.749390000e+13 8.608980000e+01 4.128740000e+04 2.085130000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 2.156440000e-04 1.544520000e-13 1.065700000e-15 1.555180000e-13 3.943570000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.350390000e-06
5.505700000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.280000000e-11 1.623990000e+13 9.273740000e+01 4.128740000e+04 2.246140000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 3.344180000e-04 1.792260000e-13 1.917760000e-15 1.811430000e-13 4.256090000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.353130000e-06
5.850700000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 1.540000000e-11 1.528230000e+13 9.854820000e+01 4.128740000e+04 2.386880000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 5.043660000e-04 2.023890000e-13 3.266160000e-15 2.056560000e-13 4.534930000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.354950000e-06
6.439500000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.050000000e-11 1.388490000e+13 1.084660000e+02 4.128740000e+04 2.627100000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 8.539190000e-04 2.451770000e-13 6.698870000e-15 2.518760000e-13 5.018730000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.357220000e-06
6.936800000e-05 1.157200000e+07 8.658700000e+01 1.304000000e+17 2.560000000e-11 1.288960000e+13 1.168420000e+02 4.128740000e+04 2.829960000e-03 1.004230000e+00 9.651040000e-01 3.970970000e-01 3.645770000e-01 1.199210000e-03 2.845030000e-13 1.091660000e-14 2.954200000e-13 5.435250000e-07 1.005900000e+05 3.163100000e+08 1.666500000e+00 1.964500000e+00 2.255600000e+15 6.464740000e-01 3.358560000e-06
