# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu Omega[rad/sec]
0.000000000e+00 1.494300000e+07 1.329800000e+02 2.134500000e+17 0.000000000e+00 8.190740000e+12 1.555340000e+02 2.950690000e+04 5.271100000e-03 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 2.585460000e-04 1.134870000e-12 4.944050000e-15 1.139820000e-12 1.067620000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 3.900280000e-06
7.575100000e-05 1.494300000e+07 1.329800000e+02 2.134500000e+17 4.100000000e-11 8.190740000e+12 1.959600000e+02 2.950690000e+04 6.641170000e-03 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 2.585460000e-04 1.429850000e-12 6.229120000e-15 1.436080000e-12 1.198370000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 3.900280000e-06
9.544000000e-05 1.494300000e+07 1.329800000e+02 2.134500000e+17 8.210000000e-11 6.501000000e+12 2.468950000e+02 2.950690000e+04 8.367350000e-03 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 1.241380000e-04 2.269750000e-12 4.747660000e-15 2.274500000e-12 1.508140000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.040440000e-06
1.028100000e-04 1.494300000e+07 1.329800000e+02 2.134500000e+17 1.026000000e-10 6.034990000e+12 2.659590000e+02 2.950690000e+04 9.013460000e-03 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 1.193670000e-04 2.633810000e-12 5.297430000e-15 2.639110000e-12 1.624530000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.064120000e-06
1.092520000e-04 1.494300000e+07 1.329800000e+02 2.134500000e+17 1.231000000e-10 5.679140000e+12 2.826240000e+02 2.950690000e+04 9.578230000e-03 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 2.651190000e-04 2.974220000e-12 1.328650000e-14 2.987500000e-12 1.728440000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.079640000e-06
1.202470000e-04 1.494300000e+07 1.329800000e+02 2.134500000e+17 1.642000000e-10 5.159840000e+12 3.110680000e+02 2.950690000e+04 1.054220000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 4.510650000e-04 3.603010000e-12 2.738420000e-14 3.630400000e-12 1.905360000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.098760000e-06
1.295320000e-04 1.494300000e+07 1.329800000e+02 2.134500000e+17 2.052000000e-10 4.789980000e+12 3.350870000e+02 2.950690000e+04 1.135620000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 6.559030000e-04 4.180930000e-12 4.620700000e-14 4.227140000e-12 2.056000000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.109980000e-06
1.376480000e-04 1.494300000e+07 1.329800000e+02 2.134500000e+17 2.462000000e-10 4.507540000e+12 3.560830000e+02 2.950690000e+04 1.206780000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 9.140660000e-04 4.721290000e-12 7.271650000e-14 4.794010000e-12 2.189520000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.117350000e-06
1.515020000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 3.283000000e-10 4.095370000e+12 3.919210000e+02 2.950690000e+04 1.328230000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349240000e-01 1.422360000e-03 5.719450000e-12 1.370750000e-13 5.856520000e-12 2.420030000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.126430000e-06
1.632000000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 4.104000000e-10 3.801810000e+12 4.221840000e+02 2.950690000e+04 1.430800000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 1.913550000e-03 6.636840000e-12 2.139900000e-13 6.850830000e-12 2.617410000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.131740000e-06
1.734260000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 4.925000000e-10 3.577640000e+12 4.486370000e+02 2.950690000e+04 1.520450000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 2.463440000e-03 7.494620000e-12 3.110890000e-13 7.805710000e-12 2.793870000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.135210000e-06
1.908800000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 6.566000000e-10 3.250500000e+12 4.937890000e+02 2.950690000e+04 1.673470000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 3.564630000e-03 9.079120000e-12 5.453170000e-13 9.624430000e-12 3.102330000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.139460000e-06
2.056200000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 8.208000000e-10 3.017500000e+12 5.319180000e+02 2.950690000e+04 1.802690000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 4.644080000e-03 1.053540000e-11 8.244060000e-13 1.135980000e-11 3.370430000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.141930000e-06
2.185030000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 9.849000000e-10 2.839570000e+12 5.652470000e+02 2.950690000e+04 1.915640000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 5.796870000e-03 1.189710000e-11 1.162040000e-12 1.305910000e-11 3.613740000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.143530000e-06
2.404940000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 1.313300000e-09 2.579920000e+12 6.221350000e+02 2.950690000e+04 2.108440000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349230000e-01 8.256040000e-03 1.441230000e-11 2.004900000e-12 1.641720000e-11 4.051820000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.145460000e-06
2.590640000e-04 1.494300000e+07 1.329800000e+02 2.134400000e+17 1.641600000e-09 2.394990000e+12 6.701740000e+02 2.950690000e+04 2.271250000e-02 1.007030000e+00 9.677960000e-01 3.966780000e-01 3.349220000e-01 1.082080000e-02 1.672410000e-11 3.049200000e-12 1.977330000e-11 4.446720000e-06 1.697800000e+05 2.620500000e+08 1.665300000e+00 1.282600000e+00 2.407200000e+15 7.831900000e-01 4.146560000e-06
