# rad[Rsun] Temperature[K] rho[cgs] Pressure[cgs] xmr[0-1] Hp[cm] gmr[cm/s2] gsurf[cm/s2] grav[cm/s2] phi delta abadd abla abmu Nt2[rad2/sec2] Nmu2[rad2/sec2] N2[rad2/sec2] N[rad/sec] Kt[cgs] cp gamma1 kap[cgs] eint[erg/g/s] mu
0.000000000e+00 1.487400000e+07 1.306200000e+02 2.085900000e+17 0.000000000e+00 2.547360000e+11 4.945420000e+03 2.817180000e+04 1.755450000e-01 1.007110000e+00 9.683000000e-01 3.966610000e-01 3.327700000e-01 2.484650000e-01 1.201070000e-09 4.886870000e-09 6.087940000e-09 7.802530000e-05 0.000000000e+00 2.590400000e+08 1.665300000e+00 1.249000000e+00 2.395200000e+15 7.925670000e-01
2.438578000e-03 1.487300000e+07 1.306000000e+02 2.085600000e+17 1.344770400e-06 2.547360000e+11 6.196120000e+03 2.817180000e+04 2.199410000e-01 1.007110000e+00 9.683020000e-01 3.966610000e-01 3.327700000e-01 2.484650000e-01 1.504820000e-09 6.122750000e-09 7.627580000e-09 8.733600000e-05 0.000000000e+00 2.590600000e+08 1.665300000e+00 1.249000000e+00 2.395300000e+15 7.925210000e-01
2.651064000e-03 1.487300000e+07 1.305900000e+02 2.085500000e+17 1.727764200e-06 2.343270000e+11 6.735800000e+03 2.817180000e+04 2.390970000e-01 1.007110000e+00 9.683030000e-01 3.966610000e-01 3.327720000e-01 2.484220000e-01 1.778310000e-09 7.234460000e-09 9.012770000e-09 9.493560000e-05 0.000000000e+00 2.590600000e+08 1.665300000e+00 1.249100000e+00 2.395300000e+15 7.925020000e-01
2.834063000e-03 1.487300000e+07 1.305800000e+02 2.085300000e+17 2.110758100e-06 2.192040000e+11 7.200530000e+03 2.817180000e+04 2.555940000e-01 1.007110000e+00 9.683040000e-01 3.966620000e-01 3.327740000e-01 2.483940000e-01 2.032100000e-09 8.266210000e-09 1.029830000e-08 1.014810000e-04 0.000000000e+00 2.590700000e+08 1.665300000e+00 1.249100000e+00 2.395300000e+15 7.924750000e-01
3.142241000e-03 1.487200000e+07 1.305600000e+02 2.085100000e+17 2.876745700e-06 1.977190000e+11 7.983030000e+03 2.817180000e+04 2.833700000e-01 1.007110000e+00 9.683050000e-01 3.966620000e-01 3.327760000e-01 2.483650000e-01 2.497660000e-09 1.015920000e-08 1.265680000e-08 1.125030000e-04 0.000000000e+00 2.590800000e+08 1.665300000e+00 1.249100000e+00 2.395300000e+15 7.924440000e-01
3.399562000e-03 1.487200000e+07 1.305500000e+02 2.084900000e+17 3.642733300e-06 1.827650000e+11 8.636270000e+03 2.817180000e+04 3.065580000e-01 1.007100000e+00 9.683070000e-01 3.966620000e-01 3.327780000e-01 2.483310000e-01 2.923050000e-09 1.188810000e-08 1.481110000e-08 1.217010000e-04 0.000000000e+00 2.590900000e+08 1.665300000e+00 1.249200000e+00 2.395300000e+15 7.924140000e-01
3.622924000e-03 1.487100000e+07 1.305400000e+02 2.084700000e+17 4.408721000e-06 1.715080000e+11 9.203210000e+03 2.817180000e+04 3.266820000e-01 1.007100000e+00 9.683080000e-01 3.966620000e-01 3.327790000e-01 2.482960000e-01 3.319340000e-09 1.349810000e-08 1.681750000e-08 1.296820000e-04 0.000000000e+00 2.591000000e+08 1.665300000e+00 1.249200000e+00 2.395300000e+15 7.923830000e-01
3.873643000e-03 1.487100000e+07 1.305200000e+02 2.084500000e+17 5.388471700e-06 1.604180000e+11 9.839470000e+03 2.817180000e+04 3.492670000e-01 1.007100000e+00 9.683100000e-01 3.966620000e-01 3.327810000e-01 2.482610000e-01 3.794050000e-09 1.542670000e-08 1.922080000e-08 1.386390000e-04 0.000000000e+00 2.591100000e+08 1.665300000e+00 1.249300000e+00 2.395300000e+15 7.923500000e-01
4.095554000e-03 1.487000000e+07 1.305100000e+02 2.084200000e+17 6.368222300e-06 1.517370000e+11 1.040250000e+04 2.817180000e+04 3.692530000e-01 1.007100000e+00 9.683120000e-01 3.966620000e-01 3.327820000e-01 2.482120000e-01 4.240580000e-09 1.723910000e-08 2.147970000e-08 1.465600000e-04 0.000000000e+00 2.591300000e+08 1.665300000e+00 1.249300000e+00 2.395400000e+15 7.923030000e-01
4.478837000e-03 1.486900000e+07 1.304800000e+02 2.083900000e+17 8.327723600e-06 1.387700000e+11 1.137470000e+04 2.817180000e+04 4.037630000e-01 1.007100000e+00 9.683140000e-01 3.966620000e-01 3.327840000e-01 2.481590000e-01 5.070050000e-09 2.060730000e-08 2.567740000e-08 1.602420000e-04 0.000000000e+00 2.591500000e+08 1.665300000e+00 1.249400000e+00 2.395400000e+15 7.922460000e-01
4.805862000e-03 1.486800000e+07 1.304600000e+02 2.083500000e+17 1.028722500e-05 1.293420000e+11 1.220400000e+04 2.817180000e+04 4.331980000e-01 1.007100000e+00 9.683160000e-01 3.966620000e-01 3.327860000e-01 2.480980000e-01 5.836000000e-09 2.371520000e-08 2.955120000e-08 1.719050000e-04 0.000000000e+00 2.591700000e+08 1.665300000e+00 1.249500000e+00 2.395400000e+15 7.921930000e-01
5.093617000e-03 1.486700000e+07 1.304200000e+02 2.083000000e+17 1.224672630e-05 1.220490000e+11 1.293340000e+04 2.817180000e+04 4.590900000e-01 1.007100000e+00 9.683200000e-01 3.966630000e-01 3.327880000e-01 2.481780000e-01 6.554280000e-09 2.664300000e-08 3.319730000e-08 1.822010000e-04 0.000000000e+00 2.591900000e+08 1.665300000e+00 1.249600000e+00 2.395400000e+15 7.921120000e-01
5.637995000e-03 1.486600000e+07 1.303800000e+02 2.082400000e+17 1.660449950e-05 1.102900000e+11 1.431270000e+04 2.817180000e+04 5.080510000e-01 1.007090000e+00 9.683240000e-01 3.966630000e-01 3.327920000e-01 2.479220000e-01 8.026270000e-09 3.259430000e-08 4.062060000e-08 2.015450000e-04 0.000000000e+00 2.592300000e+08 1.665300000e+00 1.249800000e+00 2.395500000e+15 7.920110000e-01
6.093817000e-03 1.486400000e+07 1.303400000e+02 2.081800000e+17 2.096227270e-05 1.020610000e+11 1.546690000e+04 2.817180000e+04 5.490230000e-01 1.007090000e+00 9.683280000e-01 3.966630000e-01 3.327950000e-01 2.478140000e-01 9.372450000e-09 3.804580000e-08 4.741830000e-08 2.177570000e-04 0.000000000e+00 2.592600000e+08 1.665300000e+00 1.249900000e+00 2.395500000e+15 7.919180000e-01
6.490180000e-03 1.486200000e+07 1.302900000e+02 2.080900000e+17 2.532004590e-05 9.584680000e+10 1.647010000e+04 2.817180000e+04 5.846310000e-01 1.007090000e+00 9.683340000e-01 3.966640000e-01 3.327980000e-01 2.477740000e-01 1.062700000e-08 4.313290000e-08 5.375990000e-08 2.318620000e-04 0.000000000e+00 2.593000000e+08 1.665300000e+00 1.250100000e+00 2.395600000e+15 7.917870000e-01
7.160815000e-03 1.486000000e+07 1.302200000e+02 2.079900000e+17 3.399707790e-05 8.690160000e+10 1.816610000e+04 2.817180000e+04 6.448330000e-01 1.007080000e+00 9.683410000e-01 3.966640000e-01 3.328030000e-01 2.447230000e-01 1.292710000e-08 5.182600000e-08 6.475310000e-08 2.544660000e-04 0.000000000e+00 2.593500000e+08 1.665300000e+00 1.250300000e+00 2.395600000e+15 7.916310000e-01
7.722925000e-03 1.485700000e+07 1.301600000e+02 2.079000000e+17 4.263559560e-05 8.060270000e+10 1.958640000e+04 2.817180000e+04 6.952470000e-01 1.007080000e+00 9.683470000e-01 3.966640000e-01 3.328070000e-01 2.473630000e-01 1.502610000e-08 6.089270000e-08 7.591880000e-08 2.755340000e-04 0.000000000e+00 2.594000000e+08 1.665300000e+00 1.250500000e+00 2.395700000e+15 7.914860000e-01
8.213534000e-03 1.485400000e+07 1.300800000e+02 2.077700000e+17 5.127411330e-05 7.581130000e+10 2.082490000e+04 2.817180000e+04 7.392120000e-01 1.007070000e+00 9.683560000e-01 3.966650000e-01 3.328110000e-01 2.471770000e-01 1.698530000e-08 6.878270000e-08 8.576800000e-08 2.928620000e-04 0.000000000e+00 2.594700000e+08 1.665300000e+00 1.250800000e+00 2.395800000e+15 7.912840000e-01
9.031080000e-03 1.485000000e+07 1.299400000e+02 2.075700000e+17 6.812581630e-05 6.898650000e+10 2.288640000e+04 2.817180000e+04 8.123870000e-01 1.007060000e+00 9.683700000e-01 3.966660000e-01 3.328180000e-01 2.468560000e-01 2.051170000e-08 8.296060000e-08 1.034720000e-07 3.216710000e-04 0.000000000e+00 2.595700000e+08 1.665300000e+00 1.251200000e+00 2.395900000e+15 7.909670000e-01
1.010566200e-02 1.484400000e+07 1.297800000e+02 2.073300000e+17 9.538330150e-05 6.170050000e+10 2.559100000e+04 2.817180000e+04 9.083930000e-01 1.007050000e+00 9.683870000e-01 3.966670000e-01 3.328280000e-01 2.470710000e-01 2.564110000e-08 1.038070000e-07 1.294480000e-07 3.597880000e-04 0.000000000e+00 2.597000000e+08 1.665300000e+00 1.251800000e+00 2.396000000e+15 7.905920000e-01
1.110670100e-02 1.483900000e+07 1.296300000e+02 2.071200000e+17 1.265347132e-04 5.618890000e+10 2.810510000e+04 2.817180000e+04 9.976320000e-01 1.007040000e+00 9.684020000e-01 3.966680000e-01 3.328390000e-01 3.004870000e-01 3.091800000e-08 1.521870000e-07 1.831050000e-07 4.279080000e-04 0.000000000e+00 2.598400000e+08 1.665300000e+00 1.252200000e+00 2.396400000e+15 7.901860000e-01
1.182211700e-02 1.483200000e+07 1.294500000e+02 2.068500000e+17 1.525051073e-04 5.282530000e+10 2.989780000e+04 2.817180000e+04 1.061270000e+00 1.007030000e+00 9.684210000e-01 3.966690000e-01 3.328640000e-01 2.456110000e-01 3.497170000e-08 1.408090000e-07 1.757810000e-07 4.192630000e-04 0.000000000e+00 2.599800000e+08 1.665300000e+00 1.252800000e+00 2.396600000e+15 7.897600000e-01
1.304016600e-02 1.482300000e+07 1.292100000e+02 2.064700000e+17 2.044458957e-04 4.794840000e+10 3.294260000e+04 2.817180000e+04 1.169350000e+00 1.007010000e+00 9.684470000e-01 3.966710000e-01 3.329000000e-01 2.459070000e-01 4.243110000e-08 1.711300000e-07 2.135610000e-07 4.621270000e-04 0.000000000e+00 2.601700000e+08 1.665300000e+00 1.253700000e+00 2.396800000e+15 7.891730000e-01
