# Solar Photospheric/Meteoritic Abundances
# Anders & Grevesse 1989
# Mean atomic weights from 2001 IUPAC table: www.chem.qmul.ac.uk/iupac/AtWt/
#
#  El lgA_sol  atomic_wt
 1 H   12.00    1.00794
 2 He  10.99    4.002602
 3 Li   3.31    6.941
 4 Be   1.41    9.012182
 5 B    2.88   10.811
 6 C    8.56   12.0107
 7 N    8.05   14.0067
 8 O    8.93   15.9994
 9 F    4.46   18.9984032
10 Ne   8.09   20.1797
11 Na   6.31   22.989770
12 Mg   7.58   24.3050
13 Al   6.48   26.981538
14 Si   7.55   28.0855
15 P    5.57   30.973761
16 S    7.27   32.065
17 Cl   5.27   35.453
18 Ar   6.56   39.948
19 K    5.13   39.0983
20 Ca   6.34   40.078
21 Sc   3.09   44.955910
22 Ti   4.93   47.867
23 V    4.02   50.9415
24 Cr   5.68   51.9961
25 Mn   5.53   54.938049
26 Fe   7.51   55.845
27 Co   4.91   58.933200
28 Ni   6.25   58.6934
29 Cu   4.27   63.546
30 Zn   4.65   65.409
31 Ga   3.13   69.723
32 Ge   3.63   72.64
33 As   2.37   74.92160
34 Se   3.35   78.96
35 Br   2.63   79.904
36 Kr   3.23   83.798
37 Rb   2.40   85.4678
38 Sr   2.93   87.62
39 Y    2.22   88.90585
40 Zr   2.61   91.224
41 Nb   1.40   92.90638
42 Mo   1.96   95.94
44 Ru   1.82   101.07
45 Rh   1.09   102.90550
46 Pd   1.70   106.42
47 Ag   1.24   107.8682
48 Cd   1.76   112.411
49 In   0.82   114.818
50 Sn   2.14   118.710
51 Sb   1.04   121.760
52 Te   2.24   127.60
53 I    1.51   126.90447
54 Xe   2.23   131.293
55 Cs   1.12   132.90545
56 Ba   2.21   137.327
57 La   1.20   138.9055
58 Ce   1.61   140.116
59 Pr   0.78   140.90765
60 Nd   1.47   144.24
62 Sm   0.97   150.36
63 Eu   0.54   151.964
64 Gd   1.07   157.25
65 Tb   0.33   158.92534
66 Dy   1.15   162.500
67 Ho   0.50   164.93032
68 Er   0.95   167.259
69 Tm   0.13   168.93421
70 Yb   0.95   173.04
71 Lu   0.12   174.967
72 Hf   0.73   178.49
73 Ta   0.13   180.9479
74 W    0.68   183.84
75 Re   0.27   186.207
76 Os   1.38   190.23
77 Ir   1.37   192.217
78 Pt   1.68   195.078
79 Au   0.83   196.96655
80 Hg   1.09   200.59
81 Tl   0.82   204.3833
82 Pb   2.05   207.2
83 Bi   0.71   208.98038
90 Th   0.08   232.0381
92 U   -0.49   238.02891 
