# Solar Photospheric/Meteoritic Abundances
# M. Asplund, N. Grevesse, A. J. Sauval 2004 astro-ph/0410214 v2
# Mean atomic weights from 2001 IUPAC table: www.chem.qmul.ac.uk/iupac/AtWt/
# These numbers imply:  X=0.738253355  Y=0.249524653  Z=0.0122220116
#  El lgA_sol  atomic_wt     
 1 H   12.00    1.00794   
 2 He  10.93    4.002602    
 3 Li   3.25    6.941     
 4 Be   1.38    9.012182    
 5 B    2.75   10.811    
 6 C    8.39   12.0107    
 7 N    7.78   14.0067    
 8 O    8.66   15.9994    
 9 F    4.43   18.9984032  
10 Ne   7.84   20.1797    
11 Na   6.27   22.989770  
12 Mg   7.53   24.3050     
13 Al   6.43   26.981538     
14 Si   7.51   28.0855     
15 P    5.40   30.973761    
16 S    7.16   32.065      
17 Cl   5.23   35.453       
18 Ar   6.18   39.948       
19 K    5.06   39.0983      
20 Ca   6.29   40.078     
21 Sc   3.04   44.955910   
22 Ti   4.89   47.867     
23 V    3.97   50.9415    
24 Cr   5.63   51.9961    
25 Mn   5.47   54.938049  
26 Fe   7.45   55.845     
27 Co   4.86   58.933200  
28 Ni   6.19   58.6934    
29 Cu   4.23   63.546     
30 Zn   4.61   65.409     
31 Ga   3.07   69.723     
32 Ge   3.59   72.64     
33 As   2.29   74.92160    
34 Se   3.33   78.96    
35 Br   2.56   79.904    
36 Kr   3.28   83.798   
37 Rb   2.33   85.4678   
38 Sr   2.88   87.62     
39 Y    2.17   88.90585  
40 Zr   2.57   91.224   
41 Nb   1.39   92.90638  
42 Mo   1.96   95.94      
44 Ru   1.77   101.07    
45 Rh   1.07   102.90550  
46 Pd   1.67   106.42    
47 Ag   1.20   107.8682   
48 Cd   1.71   112.411   
49 In   0.80   114.818   
50 Sn   2.08   118.710   
51 Sb   1.03   121.760    
52 Te   2.19   127.60     
53 I    1.51   126.90447  
54 Xe   2.27   131.293   
55 Cs   1.07   132.90545  
56 Ba   2.16   137.327    
57 La   1.15   138.9055   
58 Ce   1.58   140.116   
59 Pr   0.75   140.90765   
60 Nd   1.43   144.24     
62 Sm   0.92   150.36    
63 Eu   0.49   151.964    
64 Gd   1.03   157.25     
65 Tb   0.28   158.92534  
66 Dy   1.10   162.500    
67 Ho   0.46   164.93032  
68 Er   0.92   167.259   
69 Tm   0.08   168.93421  
70 Yb   0.91   173.04    
71 Lu   0.06   174.967   
72 Hf   0.74   178.49    
73 Ta  -0.17   180.9479  
74 W    0.62   183.84    
75 Re   0.23   186.207   
76 Os   1.34   190.23    
77 Ir   1.32   192.217   
78 Pt   1.64   195.078   
79 Au   0.80   196.96655 
80 Hg   1.13   200.59    
81 Tl   0.78   204.3833  
82 Pb   2.02   207.2     
83 Bi   0.65   208.98038 
90 Th   0.06   232.0381  
92 U   -0.52   238.02891 
