 1 H   12.00    1.0079400
 2 He  10.99    4.0026020
 3 Li   3.31    6.9410000
 4 Be   1.42    9.0121820
 5 B    2.88   10.8110000
 6 C    8.55   12.0107000
 7 N    7.97   14.0067000
 8 O    8.87   15.9994000
 9 F    4.56   18.9984032
10 Ne   8.08   20.1797000
11 Na   6.33   22.9897700
12 Mg   7.58   24.3050000
13 Al   6.47   26.9815380
14 Si   7.55   28.0855000
15 P    5.45   30.9737610
16 S    7.21   32.0650000
17 Cl   5.50   35.4530000
18 Ar   6.52   39.9480000
19 K    5.12   39.0983000
20 Ca   6.36   40.0780000
21 Sc   3.17   44.9559100
22 Ti   5.02   47.8670000
23 V    4.00   50.9415000
24 Cr   5.67   51.9961000
25 Mn   5.39   54.9380490
26 Fe   7.50   55.8450000
27 Co   4.92   58.9332000
28 Ni   6.25   58.6934000

# El   Log A     Atom Wt. 
