 1 H *    1.007825 12.00
 2 HE*    4.002603 10.98
 3 LI*    6.939     3.31
 4 BE*    9.013     1.42
 5 B *   10.812     2.88
 6 C *   12.012     8.55
 7 N *   14.007     7.97
 8 O *   16.000     8.87
 9 F *   18.999     4.48
10 NE*   20.184     8.08
11 NA*   22.991     6.31
12 MG*   24.313     7.58
13 AL*   26.982     6.48
14 SI*   28.090     7.55
15 P *   30.975     5.57
16 S *   32.066     7.27
17 CL*   35.454     5.27
18 AR*   39.949     6.52
19 K *   39.103     5.13
20 CA*   40.080     6.34
21 SC*   44.958     3.09
22 TI*   47.900     4.93
23 V *   50.944     4.02
24 CR*   52.000     5.68
25 MN*   54.940     5.53
26 FE*   55.849     7.51
27 CO*   58.936     4.91
28 NI*   58.710     6.25
29 CU*   63.550     4.27
30 ZN*   65.370     4.65
31 GA*   69.720     3.13
32 GE*   72.600     3.63
33 AS*   74.924     2.37
34 SE*   78.960     3.35
35 BR*   79.912     2.63
36 KR*   83.800     3.23
37 RB*   85.468     2.40
38 SR*   87.630     2.93
39 Y *   88.908     2.22
40 ZR*   91.220     2.61
41 NB*   92.910     1.40
42 MO*   95.950     1.96
44 RU*  101.070     1.82
45 RH*  102.910     1.09
46 PD*  106.400     1.70
47 AG*  107.874     1.24
48 CD*  112.410     1.76
49 IN*  114.820     0.82
50 SN*  118.700     2.14
51 SB*  121.760     1.04
52 TE*  127.610     2.24
53 I *  126.909     1.51
54 XE*  131.300     2.23
55 CS*  132.910     1.12
56 BA*  137.350     2.21
57 LA*  138.920     1.20
58 CE*  140.130     1.61
59 PR*  140.913     0.78
60 ND*  144.250     1.47
62 SM*  150.360     0.97
63 EU*  151.960     0.54
64 GD*  157.250     1.07
65 TB*  158.930     0.33
66 DY*  162.500     1.15
67 HO*  164.937     0.50
68 ER*  167.270     0.95
69 TM*  168.941     0.13
70 YB*  173.040     0.95
71 LU*  174.980     0.12
72 HF*  178.500     0.73
73 TA*  180.955     0.13
74 W *  183.860     0.68
75 RE*  186.300     0.27
76 OS*  190.200     1.38
77 IR*  192.200     1.37
78 PT*  195.100     1.68
79 AU*  196.977     0.83
80 HG*  200.600     1.09
81 TL*  204.380     0.82
82 PB*  207.200     2.05
83 BI*  208.988     0.71
90 TH*  232.047     0.08
92 U *  238.040    -0.49
