 1 H   12.00    1.0079400
 2 He  10.93    4.0026020
 3 Li   3.31    6.9410000
 4 Be   1.42    9.0121820
 5 B    2.79   10.8110000
 6 C    8.52   12.0107000
 7 N    7.92   14.0067000
 8 O    8.83   15.9994000
 9 F    4.48   18.9984032
10 Ne   8.08   20.1797000
11 Na   6.32   22.9897700
12 Mg   7.58   24.3050000
13 Al   6.49   26.9815380
14 Si   7.56   28.0855000
15 P    5.56   30.9737610
16 S    7.20   32.0650000
17 Cl   5.28   35.4530000
18 Ar   6.40   39.9480000
19 K    5.13   39.0983000
20 Ca   6.35   40.0780000
21 Sc   3.10   44.9559100
22 Ti   4.94   47.8670000
23 V    4.02   50.9415000
24 Cr   5.69   51.9961000
25 Mn   5.53   54.9380490
26 Fe   7.50   55.8450000
27 Co   4.91   58.9332000
28 Ni   6.25   58.6934000
29 Cu   4.29   63.5460000
30 Zn   4.67   65.4090000
31 Ga   3.13   69.7230000
32 Ge   3.63   72.6400000
33 As   2.37   74.9216000
34 Se   3.41   78.9600000
35 Br   2.63   79.9040000
36 Kr   3.31   83.7980000
37 Rb   2.41   85.4678000
38 Sr   2.92   87.6200000
39 Y    2.23   88.9058500
40 Zr   2.61   91.2240000
41 Nb   1.40   92.9063800
42 Mo   1.97   95.9400000
44 Ru   1.83  101.0700000
45 Rh   1.10  102.9055000
46 Pd   1.70  106.4200000
47 Ag   1.24  107.8682000
48 Cd   1.76  112.4110000
49 In   0.82  114.8180000
50 Sn   2.14  118.7100000
51 Sb   1.03  121.7600000
52 Te   2.24  127.6000000
53 I    1.51  126.9044700
54 Xe   2.17  131.2930000
55 Cs   1.13  132.9054500
56 Ba   2.22  137.3270000
57 La   1.22  138.9055000
58 Ce   1.63  140.1160000
59 Pr   0.80  140.9076500
60 Nd   1.49  144.2400000
62 Sm   0.98  150.3600000
63 Eu   0.55  151.9640000
64 Gd   1.09  157.2500000
65 Tb   0.35  158.9253400
66 Dy   1.17  162.5000000
67 Ho   0.51  164.9303200
68 Er   0.97  167.2590000
69 Tm   0.15  168.9342100
70 Yb   0.96  173.0400000
71 Lu   0.13  174.9670000
72 Hf   0.75  178.4900000
73 Ta  -0.13  180.9479000
74 W    0.69  183.8400000
75 Re   0.28  186.2070000
76 Os   1.39  190.2300000
77 Ir   1.37  192.2170000
78 Pt   1.69  195.0780000
79 Au   0.85  196.9665500
80 Hg   1.13  200.5900000
81 Tl   0.83  204.3833000
82 Pb   2.06  207.2000000
83 Bi   0.71  208.9803800
90 Th   0.09  232.0381000
92 U   -0.50  238.0289100
# El   Log A     Atom Wt. 
